Year,Month,Day,Hour,Clearness_Index,Irradiation,Temperature,RH,Pressure,Wind_ Speed,Precipitiation,Wind_Direction
2015,1,1,0,-999,0,22.45,97.26,98.97,2.01,6.79,114
2015,1,1,1,-999,0,22.43,97.27,98.91,1.99,10.09,115.3
2015,1,1,2,-999,0,22.43,97.2,98.9,2.18,11.88,113.3
2015,1,1,3,-999,0,22.45,97.2,98.9,2.38,12.41,109.3
2015,1,1,4,-999,0,22.44,97.18,98.94,2.63,10.62,108.6
2015,1,1,5,-999,0,22.4,97.31,99.01,2.79,7.9,109.7
2015,1,1,6,0.21,26.77,22.71,96.6,99.1,3.07,4.7,110
2015,1,1,7,0.35,152.77,23.6,93.83,99.2,3.82,4.02,113.5
2015,1,1,8,0.42,304,24.95,86.88,99.25,4.4,0.23,123.4
2015,1,1,9,0.45,421.12,26.99,75.2,99.24,4.49,0.24,134
2015,1,1,10,0.53,582,28.97,65.71,99.18,4.6,0.29,143.3
2015,1,1,11,0.57,665.12,30.37,59.76,99.06,4.74,0.33,152.4
2015,1,1,12,0.56,643.8,31.23,56.1,98.92,4.82,0.37,159.5
2015,1,1,13,0.57,596.1,31.52,54.25,98.81,4.74,0.35,162.8
2015,1,1,14,0.47,407.58,31.08,55.32,98.76,4.67,0.33,161.6
2015,1,1,15,0.38,240.7,30.02,59.26,98.78,4.71,0.24,155.8
2015,1,1,16,0.31,101.72,28.36,67.12,98.85,4.59,0.19,145.7
2015,1,1,17,0.21,9.35,26.39,78.08,98.96,4.3,0.18,134.6
2015,1,1,18,-999,0,25.19,85.44,99.07,4.68,0.21,130.8
2015,1,1,19,-999,0,24.44,89.86,99.18,4.41,0.2,131.4
2015,1,1,20,-999,0,23.99,92.05,99.22,3.92,0.18,134
2015,1,1,21,-999,0,23.59,93.86,99.23,3.38,0.22,137.8
2015,1,1,22,-999,0,23.27,95.45,99.21,2.87,0.23,142.2
2015,1,1,23,-999,0,23.02,96.59,99.17,2.48,0.25,147.8
2015,1,2,0,-999,0,22.77,97.85,99.12,2.03,0.28,153.1
2015,1,2,1,-999,0,22.55,98.71,99.06,1.7,0.23,154.6
2015,1,2,2,-999,0,22.38,99.25,99.04,1.63,0.22,156.9
2015,1,2,3,-999,0,22.25,99.6,99.07,1.56,0.15,158.2
2015,1,2,4,-999,0,22.17,99.57,99.13,1.47,0.13,159.2
2015,1,2,5,-999,0,22.11,99.32,99.22,1.36,0.11,160.2
2015,1,2,6,0.27,33.15,22.86,96.06,99.33,1.38,0.09,164.1
2015,1,2,7,0.45,197.15,24.77,86.37,99.42,1.83,0.13,175.6
2015,1,2,8,0.56,399.42,26.79,74.35,99.47,2.12,0,182.4
2015,1,2,9,0.63,592.97,28.66,65.09,99.44,2.3,0,173.5
2015,1,2,10,0.67,730.33,30.24,58.46,99.36,2.48,0,160.7
2015,1,2,11,0.59,693.72,31.28,54.14,99.24,2.77,0,150.8
2015,1,2,12,0.65,750.25,31.9,51.14,99.11,3.12,0,143.4
2015,1,2,13,0.64,668.65,32.08,49.69,99.01,3.43,0,137.4
2015,1,2,14,0.59,516.25,31.69,49.95,98.98,3.73,0,135.1
2015,1,2,15,0.55,346.88,30.8,51.89,99.02,4.1,0,133.2
2015,1,2,16,0.46,153.62,29.16,58.03,99.11,4.17,0,130.3
2015,1,2,17,0.26,12,26.49,70.75,99.23,3.61,0,126.9
2015,1,2,18,-999,0,24.99,78.47,99.36,4.07,0,126
2015,1,2,19,-999,0,23.92,85.08,99.48,3.72,0,126.7
2015,1,2,20,-999,0,23.1,90.23,99.55,3,0,127.1
2015,1,2,21,-999,0,22.34,94.85,99.57,2.29,0,129.9
2015,1,2,22,-999,0,21.66,98.49,99.55,1.88,0,136.3
2015,1,2,23,-999,0,21.12,100,99.53,1.75,0,145.5
2015,1,3,0,-999,0,20.76,100,99.47,1.62,0,159.8
2015,1,3,1,-999,0,20.64,100,99.42,1.45,0,178
2015,1,3,2,-999,0,20.59,100,99.39,1.3,0,193.3
2015,1,3,3,-999,0,20.53,100,99.4,1.15,0,199.9
2015,1,3,4,-999,0,20.41,100,99.42,0.88,0,199.9
2015,1,3,5,-999,0,20.6,98.26,99.49,0.6,0,192.4
2015,1,3,6,0.25,30.95,21.17,95.39,99.58,0.3,0,168.3
2015,1,3,7,0.44,192.2,23.79,80.19,99.66,1.22,0,143.3
