-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  34.15   Longitude 77.58 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4532.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M
2020,1,1,0,0.0,0.0,0.0,-25.84,93.01,2.04
2020,1,1,1,0.0,0.0,0.0,-26.8,100.0,2.1
2020,1,1,2,0.0,0.0,0.0,-27.84,100.0,2.18
2020,1,1,3,0.0,0.0,0.0,-29.12,100.0,2.37
2020,1,1,4,0.0,0.0,0.0,-30.25,100.0,2.5
2020,1,1,5,0.0,0.0,0.0,-31.22,100.0,2.61
2020,1,1,6,0.0,0.0,0.0,-31.98,100.0,2.67
2020,1,1,7,38.35,1.4,36.86,-32.36,100.0,2.7
2020,1,1,8,165.15,181.43,117.12,-30.64,97.42,2.61
2020,1,1,9,285.5,59.15,251.17,-26.74,91.72,3.17
2020,1,1,10,236.88,4.89,188.24,-22.77,91.42,2.73
2020,1,1,11,244.55,103.12,200.13,-18.05,79.07,2.51
2020,1,1,12,201.7,0.17,175.04,-16.26,76.34,2.86
2020,1,1,13,207.43,0.74,185.28,-15.82,73.88,2.84
2020,1,1,14,184.32,1.2,175.39,-15.85,71.02,2.29
2020,1,1,15,92.25,16.57,96.63,-16.16,71.85,1.26
2020,1,1,16,19.55,59.86,19.41,-17.42,74.47,0.79
2020,1,1,17,0.0,0.0,0.0,-19.24,75.9,1.01
2020,1,1,18,0.0,0.0,0.0,-20.63,81.99,0.92
2020,1,1,19,0.0,0.0,0.0,-22.05,90.87,0.88
2020,1,1,20,0.0,0.0,0.0,-23.5,100.0,1.09
2020,1,1,21,0.0,0.0,0.0,-24.72,100.0,1.36
2020,1,1,22,0.0,0.0,0.0,-26.08,100.0,1.65
2020,1,1,23,0.0,0.0,0.0,-27.76,100.0,1.94
2020,1,2,0,0.0,0.0,0.0,-29.61,100.0,2.18
2020,1,2,1,0.0,0.0,0.0,-31.4,100.0,2.38
2020,1,2,2,0.0,0.0,0.0,-32.86,100.0,2.52
2020,1,2,3,0.0,0.0,0.0,-33.88,100.0,2.66
2020,1,2,4,0.0,0.0,0.0,-34.57,100.0,2.73
2020,1,2,5,0.0,0.0,0.0,-35.13,100.0,2.74
2020,1,2,6,0.0,0.0,0.0,-35.67,100.0,2.74
2020,1,2,7,46.67,211.95,33.85,-35.87,100.0,2.73
2020,1,2,8,214.75,447.27,106.04,-33.74,95.62,2.54
2020,1,2,9,372.8,409.84,234.77,-29.39,83.73,3.3
2020,1,2,10,492.35,449.28,302.12,-25.69,94.03,2.69
2020,1,2,11,561.72,604.74,312.9,-21.18,93.79,2.33
2020,1,2,12,472.92,333.2,282.21,-16.96,71.47,1.61
2020,1,2,13,377.67,181.69,283.96,-14.76,59.85,1.05
2020,1,2,14,303.38,225.0,218.12,-14.18,56.71,1.15
2020,1,2,15,161.2,372.23,74.51,-14.71,62.84,1.36
2020,1,2,16,30.25,153.56,25.08,-16.82,69.09,1.42
2020,1,2,17,0.0,0.0,0.0,-18.68,65.59,1.46
2020,1,2,18,0.0,0.0,0.0,-19.94,68.6,1.26
2020,1,2,19,0.0,0.0,0.0,-21.08,74.58,1.02
2020,1,2,20,0.0,0.0,0.0,-22.08,78.88,0.86
2020,1,2,21,0.0,0.0,0.0,-23.07,84.47,0.83
2020,1,2,22,0.0,0.0,0.0,-24.04,90.24,0.95
